fight_date,fighter1_name,fighter2_name,target,f1_total_fights,f2_total_fights,f1_win_percentage,f2_win_percentage,f1_wins,f2_wins,f1_losses,f2_losses,f1_height,f2_height,height_diff,f1_reach,f2_reach,reach_diff,f1_weight,f2_weight,weight_diff,f1_age,f2_age,age_diff,f1_strikes_landed_per_min,f2_strikes_landed_per_min,f1_strikes_absorbed_per_min,f2_strikes_absorbed_per_min,f1_striking_accuracy,f2_striking_accuracy,f1_striking_defense,f2_striking_defense,f1_takedown_accuracy,f2_takedown_accuracy,f1_takedown_defense,f2_takedown_defense,f1_takedown_average,f2_takedown_average,f1_recent_win_rate,f2_recent_win_rate,f1_recent_wins,f2_recent_wins,f1_win_streak,f2_win_streak,f1_loss_streak,f2_loss_streak,f1_ko_tko_wins,f2_ko_tko_wins,f1_submission_wins,f2_submission_wins,f1_avg_days_between_fights,f2_avg_days_between_fights,f1_days_since_last_fight,f2_days_since_last_fight,f1_layoff_penalty,f2_layoff_penalty,f1_strength_of_schedule,f2_strength_of_schedule,f1_quality_adjusted_win_pct,f2_quality_adjusted_win_pct,win_pct_advantage,striking_advantage,striking_differential,reach_advantage,strength_of_schedule_advantage,quality_adjusted_win_pct_advantage
2026-03-14,Marwan Rahiki,Harry Hardwick,1,-1.5981486163236125,-0.6005781156344612,2.629263231027278,-0.14302749068176762,-1.385740031909566,-0.6470250649979369,-1.5550516866393922,-0.6008653519161348,0.39119602782043694,0.3923526257655143,-0.0014114511497808977,0.4773306721770364,0.4411426907709096,0.02549293226787129,0.23922183781239462,0.39217299365433855,-0.1144891041223793,-0.12674527438300134,0.4932388486972809,-0.46350180136077274,2.1183865598593523,-0.5354813381960645,1.6481895340371373,2.089719243610444,0.0,0.0,0.5711566294947318,-0.1966322847498499,-1.4399759376560306,-1.4403786731590293,-1.3706228284456505,-1.709942838867318,0.0,0.0,1.2770502841732536,-1.8987487966657193,-0.9734270264330286,-1.6776930656102158,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,0.6429421224942165,-0.31701017157476263,-0.8107588390059485,-0.6029381612171144,-0.6034461787627035,-1.247935375831978,-1.2545367248986226,-0.28672637774396986,-0.09328001783268998,-0.9063672711280917,-0.8851133988039949,-2.118394030577723,0.9155311506072906,0.008955686740626658,1.1521658812324818,1.9919206084514476,1.9432795519675152,3.118223477776265,0.02549293226787129,-2.60140393201803,-0.9385389439852522
2026-03-14,Hecher Sosa,Luan Lacerda,1,-0.798340406397632,-0.8002547006407005,2.0044638962741557,0.7620591437872446,-0.3501518920313675,-0.6470250649979369,-1.3155310331824346,-0.8402018844807034,0.4293476399473983,0.35427787161770297,0.053858004399534254,0.40310055301478387,0.4411426907709096,-0.028143709214584905,0.08671022912994254,0.08768753162977777,-0.0008436459775433439,0.42043955938849703,0.6336113863060948,-0.16018709076276125,0.5284469666780501,0.2812810524717669,-0.3784603299475465,1.3641777388779552,0.0,0.0,0.8121366905867331,0.09222364752544612,0.2919824642491294,0.5340725436165,0.6275050380539062,0.5249712102570377,0.0,0.0,1.2770502841732536,-0.8383272563672582,-0.9734270264330286,-0.9763944516166984,-0.19543196336733337,-0.1951512981411091,-0.6190825695997801,-0.6194485004785933,-0.809322692363315,-0.8107588390059485,-0.6029381612171144,0.017329341445004223,-1.247935375831978,2.236766981184949,-0.14283078538198912,-0.27337510176709134,0.36916324335419054,-0.7699150937071895,-2.118394030577723,0.3556514333631678,-0.3140073496907514,0.64165977391223,0.8943857547477935,0.18303392975825922,1.9191706326834952,-0.028143709214584905,-2.1237887481828275,-0.7843173577830013
2026-03-14,Manoel Sousa,Bolaji Oki,1,-0.8983164326383796,-1.0997695781500596,1.962810607290613,0.3282602243080144,-0.49809305487111016,-1.0903327222820014,-1.3155310331824346,-0.8402018844807034,0.4293476399473983,0.46850213406113683,-0.029046178924438473,0.40310055301478387,0.5152204730747437,-0.0817803506970411,0.3917334464948467,0.39217299365433855,-0.0008436459775433439,0.27549141362616936,0.4014396653721517,-0.09469111204571837,0.3396416399877706,1.5690597911320905,0.26181286467946846,1.0252386417766468,0.0,0.0,0.3301765684027301,0.814363478213686,-1.4399759376560306,1.4490621318783308,0.3227058719777028,0.5249712102570377,0.0,0.0,1.2770502841732536,0.010009975871510665,-0.9734270264330286,0.4262027763703366,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,0.6429421224942165,-0.31701017157476263,-0.3189337329556767,-0.6029381612171144,-0.6034461787627035,-1.247935375831978,0.04328693646745366,-0.034909091110503596,-0.09328001783268998,-0.802153183105322,-0.8851133988039949,-2.118394030577723,0.8613645024788154,-0.3355382187861771,1.4438508642541819,1.1752932767446718,-0.8920643281128188,-0.5092908257322424,-0.0817803506970411,-2.5551961255788873,-1.4605445236919088
2026-03-07,Alberto Montes,Ricky Turcios,1,-1.0982684851198747,-0.6005781156344612,1.860279434408052,-0.14302749068176762,-0.7939753805505955,-0.6470250649979369,-1.3155310331824346,-0.3615288193515661,0.35304441569347556,0.4304273799133255,-0.056680906699096055,0.36598549343365766,0.4411426907709096,-0.054962029955813,0.23922183781239462,0.08768753162977777,0.1128018121672926,0.5196028517128012,0.5988524722315315,-0.060193230126054376,0.8911519363725345,0.6370487195724792,0.6480933870577504,0.2679215966909104,0.0,0.0,0.7639406783683327,0.38107957980074214,-1.4399759376560306,-0.4772317381465759,0.898437630121643,-0.22000013945108085,0.0,0.0,1.2770502841732536,-0.6262429483075659,-0.9734270264330286,-0.27509583762318085,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,1.9053327454670261,-0.809322692363315,-0.8107588390059485,0.0178429645325056,-0.6034461787627035,-1.247935375831978,2.6062691440420838,1.6198902210522748,1.0593285193474786,1.6091236798885813,0.7977835800015111,-2.118394030577723,0.9383363054054834,-0.38853728117491476,1.199205620862562,1.4393156471461126,0.19032273150653722,-0.09948795462458747,-0.054962029955813,-2.6208582681296204,-1.30316834508952
2026-03-07,Rafael Tobias,Diyar Nurgozhay,0,-0.798340406397632,-1.1996078706531792,1.379664561521033,0.9709252902031709,-0.49809305487111016,-1.0903327222820014,-1.076010379725477,-1.079538417045272,0.620105700582205,0.620801150652382,-0.0014114511497808977,0.5515607913392889,0.5522593642266608,-0.0013253884733568065,1.154291489907107,1.1533866487157405,-0.0008436459775433439,-0.19843765464449145,0.2831256693875801,-0.35984149916738656,-0.34601980957166617,-0.20977854437146906,1.373030805767676,-0.11868081094026968,0.0,0.0,-0.4409596270916751,0.814363478213686,0.14765259742369952,-0.9588052056528026,-1.3706228284456505,-1.3713194980909005,0.0,0.0,1.2770502841732536,-0.8383272563672582,-0.9734270264330286,-0.9763944516166984,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,1.9053327454670261,-0.809322692363315,-0.3189337329556767,0.0178429645325056,-0.6034461787627035,-1.247935375831978,-0.10950150539837669,-0.2147785815629795,-0.05726100104580971,-0.26860201388695054,-0.8325228682163229,-2.118394030577723,0.6652537935610767,-0.6369703861221294,1.5272135832395834,0.2957303800003455,-0.10122933842460231,-1.5666834190840948,-0.0013253884733568065,-2.387900455800307,-1.7762075713316021
2026-03-07,Luke Fernandez,Rodolfo Bellato,0,-1.69812464256436,-0.9000929931438202,1.2011504658772831,0.6367394559376895,-1.6816223575890512,-0.7947942840926251,-1.3155310331824346,-0.8402018844807034,0.5819540884552437,-2.196730656285653,2.0159236764002224,0.6257909105015415,-2.188618581015202,2.036866987859979,1.154291489907107,-1.9675893370360076,2.328888245991594,0.43160659681240515,-2.066666047473615,1.8678550593840517,2.322097570235707,-1.7330654570280384,3.680130912027003,-1.702161905210446,0.0,0.0,-0.3927636148732747,-2.12233849991849,-1.4399759376560306,-1.4403786731590293,-1.709288568530321,-1.709942838867318,0.0,0.0,1.2770502841732536,-0.3081164862180276,-0.9734270264330286,-0.27509583762318085,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,0.6429421224942165,-0.31701017157476263,0.1728913730945952,-0.6029381612171144,-0.6034461787627035,-1.247935375831978,0.3147937538520212,-0.28672637774396986,-0.23735608498021105,-0.9063672711280917,-0.4499893659655178,-2.118394030577723,0.6840282737251552,-0.7292455393882378,1.3027228455743374,0.40690923531058537,2.963711796726505,-1.0303981803506195,2.036866987859979,-2.4039163544278095,-1.667590519500721
2026-02-28,Damian Pinas,Wes Schultz,1,-1.3981965638421172,-1.299446163156299,1.6295842954222823,-0.09239327336881557,-1.2377988690698234,-1.3858711604713778,-1.3155310331824346,-0.8402018844807034,0.5819540884552437,0.5827263965045707,-0.0014114511497808977,0.7371360892449202,0.663376037682412,0.05231125300909939,0.8492682725422029,0.8489011866911798,-0.0008436459775433439,-0.11669494070148392,0.3386062437758255,-0.34034269634322856,2.004109651599446,0.5719081608075598,0.2829789207001962,0.9299120207169036,0.0,0.0,0.5711566294947318,0.044080992146230076,-1.4399759376560306,-0.23644500439346255,-1.3706228284456505,-1.709942838867318,0.0,0.0,1.2770502841732536,-0.3081164862180276,-0.9734270264330286,-0.9763944516166984,-0.19543196336733337,-0.1951512981411091,-0.6190825695997801,-0.6194485004785933,-0.31701017157476263,-0.8107588390059485,-0.6029381612171144,0.017329341445004223,-1.247935375831978,1.7450340648351503,-0.28672637774396986,-0.3608498568209434,-0.9063672711280917,-0.35858201518218297,-2.118394030577723,1.0700233463148299,-0.5077851715495781,1.5171855698169328,1.2372520148304227,1.054045738677539,2.081068063244544,0.05231125300909939,-2.7331962012882296,-1.6620211943164283
2026-02-28,Regina Tarin,Ernesta Kareckaite,1,-1.5981486163236125,-1.598961040665658,2.629263231027278,0.135460704539467,-1.385740031909566,-1.6814095986607542,-1.5550516866393922,-1.3188749496098406,0.35304441569347556,0.4304273799133255,-0.056680906699096055,0.25464031469027887,0.4411426907709096,-0.1354169921794973,0.08671022912994254,-0.06455519938250262,0.1128018121672926,-0.3293153332526947,0.18375082530261008,-0.3831733999826181,2.0537952638863617,1.964913955934291,2.0027209723843273,1.5230554406441936,0.0,0.0,0.6193526417131316,0.18850895828387795,0.14765259742369952,1.7380062123820672,-0.015959868106967808,1.0667685554993054,0.0,0.0,-1.8991830584950409,0.22209428393120284,-1.674051092489008,-0.27509583762318085,-0.7199097518492559,-0.1951512981411091,-0.6190825695997801,-0.6194485004785933,-0.809322692363315,-0.8107588390059485,-0.6029381612171144,-0.6034461787627035,-1.247935375831978,0.4068180567689121,-1.0627347508389373,1.0593285193474786,1.7813577415310031,0.7977835800015111,-2.118394030577723,0.3240467441841392,0.008955686740626658,0.1278759387761146,1.792368816868965,0.07734630440822071,-0.3524526898762266,-0.1354169921794973,-2.096827815383552,-0.09763607483447728
2026-02-28,Ryan Gandra,Jose Daniel Medina,1,-1.3981965638421172,-0.7004164081375809,1.6295842954222823,-0.8965837836333429,-1.2377988690698234,-0.9425635031873133,-1.3155310331824346,-0.12219228678699749,0.5819540884552437,0.5446516423567593,0.02622327662487668,0.5515607913392889,0.5522593642266608,-0.0013253884733568065,0.8492682725422029,0.8489011866911798,-0.0008436459775433439,0.4416569304939223,0.7644029411892281,-0.2421820564848613,4.746755449837193,-0.6507300190878443,-0.8017814503621019,0.9828712546389833,0.0,0.0,1.7760569349547397,0.09222364752544612,-1.4399759376560306,0.14881376961151888,-1.3706228284456505,-0.7956598187709906,0.0,0.0,1.2770502841732536,-1.8987487966657193,-0.9734270264330286,-1.6776930656102158,-0.19543196336733337,-0.7194577858135556,-0.6190825695997801,4.430113991412645,-0.31701017157476263,-0.8107588390059485,-0.6029381612171144,-0.6034461787627035,-1.247935375831978,0.4103304347428392,-0.10685688729149395,-0.20133706819333078,-0.9069913075833178,-0.1300636382238461,-2.118394030577723,0.8549132917125691,-0.5077851715495781,0.3834854326515113,1.8134978300953453,3.95498883449238,7.196015010032692,-0.0013253884733568065,-2.549692807417539,-0.7312967396636478
2026-02-28,Wes Schultz,Damian Pinas,0,-1.2982205376013698,-1.3992844556594186,-0.09713386607725649,1.6392969587341335,-1.385740031909566,-1.2381019413766896,-0.8364897262685193,-1.3188749496098406,0.5819540884552437,0.5827263965045707,-0.0014114511497808977,0.6629059700826677,0.7374538199862462,-0.054962029955813,0.8492682725422029,0.8489011866911798,-0.0008436459775433439,0.3391435269424457,-0.11615621536637984,0.33994886885516806,0.5632268952788908,2.0250437024865238,0.928543629332393,0.28380936686753416,0.0,0.0,0.041000495092328205,0.5736502013176064,-0.2372270474441139,-1.4403786731590293,-1.709288568530321,-1.3713194980909005,0.0,0.0,-0.31106638716089363,1.2825158242296641,-0.9734270264330286,-0.9763944516166984,-0.19543196336733337,-0.1951512981411091,-0.6190825695997801,-0.6194485004785933,-0.809322692363315,-0.3189337329556767,0.0178429645325056,-0.6034461787627035,1.7487451110316785,-1.2545367248986226,-0.3586741739249602,-0.28881182324718285,-0.3597113363499707,-0.9070261198821916,1.0716347549459775,-2.143414324401991,1.5226410292068828,-0.5112809853166581,-1.2444466295771788,-1.0597067683232244,-2.0877907737024723,-0.054962029955813,2.7493622003520706,1.6685657332436588
